a,b,c,d,label
1581.21,2062.57,608.05,334.41,1
1550.65,1990.27,1340.54,1082.14,1
1578.14,2034.8,598.77,323.75,1
1556.88,2012.28,1008.58,717.68,1
1561.22,2012.21,1003.91,715.37,1
1574.26,2058.96,622.07,268.87,1
1538.18,1991.11,1395.97,1089.56,1
1583.86,2032.19,614.56,349.26,1
1575.92,2036.08,776.77,455.84,1
1552.33,1992.11,1338.51,1003.99,1
1572.3,2051.57,495.13,182.26,1
1552.03,2010.49,1153.85,864.53,1
1579.25,2046.61,910.09,578.75,1
1582.37,2074.23,612.14,272.09,1
1548.17,2000.81,1341.93,1060.74,1
1585.63,2045.43,607.91,279.65,1
1573.65,2029.82,939.83,651.44,1
1568.8,2013.14,1114.13,852.27,1
1582.18,2074.29,600.42,289.21,1
1550.5,2002.46,1396.34,1129.77,1
1584.33,2071.97,683.66,417.05,1
1572.12,2049.19,837.49,548.92,1
1551.93,1998.48,1375.82,1105.74,1
1559.39,2050.96,808.77,543.11,1
1551.1,1986.27,1345.4,1100.91,1
1554.73,1990.4,1367.33,1064.55,1
1558.61,1990.25,1357.71,1045.07,1
1558.07,1995.84,1300.89,1004.37,1
1557.5,1992.09,1294.58,997.67,1
1549.32,1987.31,1256.05,980.04,1
1557.97,1991.82,1314.07,1026.38,1
1562.38,1992.52,1218.64,910.98,1
1565.54,1997.68,1159.16,884.02,1
1562.8,1996.6,1089.48,825.89,1
1566.38,2002.98,1155.21,899.14,1
1569.15,2004.07,1163.46,894.79,1
1570.72,2011.05,1102.67,833.99,1
1570.88,2020.11,1047.96,763.44,1
1573.75,2008.43,992.16,699.36,1
1572.69,2019.88,1072.02,796.43,1
1576.11,2020.84,1037.16,734.04,1
1578.18,2018.25,1036.69,710.61,1
1581.35,2020.36,956.15,637.02,1
1577.9,2016,976.09,666.84,1
1576.12,2021.01,1015.38,705.17,1
1576.19,2029.27,1102.27,772.17,1
1577.75,2028.45,1098.47,758.86,1
1582.66,2021.87,1015.46,686.35,1
1572.89,2028.39,1094.88,772.41,1
1569.1,2017.72,1130.01,825.65,1
1565.13,2009.15,1168.59,846.78,1
1569.82,2026.67,1130.13,800.04,1
1566.79,2032.72,1110.44,800.05,1
1571.5,2038.71,1036.21,739.78,1
1568.33,2030.64,1082.76,807.71,1
1566.29,2037.74,1123.57,825.43,1
1575.8,2034.81,1013.72,725.06,1
1578.91,2049.01,947.77,644.1,1
1586.39,2049.07,952.82,665.67,1
1589.39,2043.94,1004.44,719.94,1
1589.3,2051.88,990.07,691.9,1
1589.29,2048.78,1046.56,708.97,1
1596.28,2057.29,974.22,644.19,1
1599.39,2055.45,983.91,673.77,1
1591.25,2052.13,1070.96,742.97,1
1582.79,2047.61,1161.35,801.3,1
1580.86,2037.06,1122.31,753.5,1
1574.25,2038.58,1074.78,734.03,1
1562.16,2033.02,1100.84,750.55,1
1556.18,2024.2,1096.31,778.97,1
1552.01,2022.56,1171.95,844.39,1
1553.84,2024.79,1117.03,785.47,1
1565.59,2031.56,1081.64,768.66,1
1562.93,2020.49,1034.8,743.52,1
1555.1,2014.17,1086.21,805.17,1
1563.41,2027.23,1106.13,807.2,1
1562.81,2024.99,1064.75,768.4,1
1560.22,2027.37,1032.6,717.76,1
1561.07,2020.02,971.02,686.86,1
1555.36,2013.98,1061.63,762.24,1
1559.1,2013.93,1032.87,712.14,1
1561.86,2012.47,1030.36,683.28,1
1565.25,2028.36,972.58,644.01,1
1558.76,2018.91,995.11,688.87,1
1560.66,2008.66,1043.87,708.97,1
1559.79,2003.8,1122.15,812.78,1
1568,2026.7,1140.43,811.98,1
1567.18,2012.93,1035.14,724.97,1
1559.15,2020.14,1128.23,796.13,1
1557.34,2005.76,1208.03,872.04,1
1556.76,2016.44,1144.94,801.46,1
1555.09,2020.52,1040.15,697.85,1
